"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","CU_NAME","GrantId","DateAwarded","Amount","Grantor","OtherGrantor","GrantType"
5366,9/30/2021 0:00:00,2303,"DESERT VALLEYS",5342,7/25/2016 0:00:00,7000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
5366,9/30/2021 0:00:00,2303,"DESERT VALLEYS",5971,8/30/2017 0:00:00,3400,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
5420,9/30/2021 0:00:00,2332,"PARKWAY",3816,8/27/2013 0:00:00,5000,"Other","NCUA OSCUI","Program Grant"
5431,9/30/2021 0:00:00,2338,"FORT FINANCIAL",6624,9/30/2018 0:00:00,600000,"Community Development Financial Institution (CDFI)","","Program Grant"
5431,9/30/2021 0:00:00,2338,"FORT FINANCIAL",9360,6/15/2021 4:00:00 AM,1826265,"Community Development Financial Institution (CDFI)","","Program Grant"
5439,9/30/2021 0:00:00,2342,"AMHERST",4859,11/5/2015 5:00:00 AM,399,"State League Foundation","","Program Grant"
5439,9/30/2021 0:00:00,2342,"AMHERST",4995,3/21/2016 4:00:00 AM,2500,"State League Foundation","","Program Grant"
5439,9/30/2021 0:00:00,2342,"AMHERST",7296,8/28/2019 4:00:00 AM,3000,"State League Foundation","","Program Grant"
5439,9/30/2021 0:00:00,2342,"AMHERST",7877,4/8/2020 0:00:00,5000,"Other","Alloya Corporate FCU","Program Grant"
5487,9/30/2021 0:00:00,2371,"KAUAI GOVERNMENT EMPLOYEES",531,6/20/2008 0:00:00,4300,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Not Collected"
5487,9/30/2021 0:00:00,2371,"KAUAI GOVERNMENT EMPLOYEES",8143,7/16/2020 0:00:00,150000,"Other","County of Kauai","Pass Through"
5487,9/30/2021 0:00:00,2371,"KAUAI GOVERNMENT EMPLOYEES",8144,7/9/2020 0:00:00,491654,"Other","County of Kauai","Pass Through"
5487,9/30/2021 0:00:00,2371,"KAUAI GOVERNMENT EMPLOYEES",8145,6/1/2020 0:00:00,100000,"Other","County of Kauai","Subsidy for Risk or ALL"
5487,9/30/2021 0:00:00,2371,"KAUAI GOVERNMENT EMPLOYEES",8775,11/1/2020 0:00:00,6000000,"Other","AUW/CARES","Program Grant"
5487,9/30/2021 0:00:00,2371,"KAUAI GOVERNMENT EMPLOYEES",8881,3/18/2021 0:00:00,21780000,"Other","County of Kauai","Pass Through"
5487,9/30/2021 0:00:00,2371,"KAUAI GOVERNMENT EMPLOYEES",8882,3/11/2021 0:00:00,4200000,"Other","HCF","Pass Through"
5487,9/30/2021 0:00:00,2371,"KAUAI GOVERNMENT EMPLOYEES",9015,7/21/2021 10:00:00 AM,1280000,"Community Development Financial Institution (CDFI)","","Not Collected"
5546,9/30/2021 0:00:00,2406,"ADIRONDACK REGIONAL",7636,12/31/2019 0:00:00,400,"National Credit Union Foundation","","Program Grant"
5546,9/30/2021 0:00:00,2406,"ADIRONDACK REGIONAL",7637,6/11/2019 0:00:00,199,"National Credit Union Foundation","","Program Grant"
5549,9/30/2021 0:00:00,2409,"CLINCHFIELD",5437,7/25/2016 0:00:00,15000,"Other","NCUA-Office of Small Credit Union Initiatives","Program Grant"
5549,9/30/2021 0:00:00,2409,"CLINCHFIELD",5995,8/30/2017 0:00:00,7000,"Other","NCUA-Office of Small Credit Union Initiatives","Program Grant"
5549,9/30/2021 0:00:00,2409,"CLINCHFIELD",6714,7/18/2018 0:00:00,1500,"National Credit Union Foundation","","Program Grant"
5549,9/30/2021 0:00:00,2409,"CLINCHFIELD",6869,10/29/2018 0:00:00,10000,"Other","NCUA-Office of CU Resources & Expansion","Program Grant"
5549,9/30/2021 0:00:00,2409,"CLINCHFIELD",7382,8/29/2019 0:00:00,5000,"Other","NCUA-Office of CU Resources & Expansion","Program Grant"
5549,9/30/2021 0:00:00,2409,"CLINCHFIELD",9420,9/16/2021 4:00:00 AM,40000,"Community Development Financial Institution (CDFI)","","Program Grant"
5554,9/30/2021 0:00:00,2413,"MICHIGAN COLUMBUS",8234,5/1/2020 0:00:00,5000,"Other","Alloya","Program Grant"
5555,9/30/2021 0:00:00,2414,"WACONIZED",3665,7/10/2013 5:00:00 AM,2000,"Other","not available","Program Grant"
5555,9/30/2021 0:00:00,2414,"WACONIZED",4838,6/20/2015 5:00:00 AM,2000,"Other","Not available","Program Grant"
5555,9/30/2021 0:00:00,2414,"WACONIZED",5670,3/23/2017 5:00:00 AM,1500,"Other","Not available","Program Grant"
5589,9/30/2021 0:00:00,2428,"KC FAIRFAX",6583,9/11/2018 0:00:00,2911,"Other","Heartland Credit Union Charitable Foundatikon","Program Grant"
5602,9/30/2021 0:00:00,2434,"TAUNTON",6485,4/3/2018 0:00:00,475,"Other","MA Workforce Training Fund","Program Grant"
5602,9/30/2021 0:00:00,2434,"TAUNTON",6791,10/4/2018 0:00:00,89600,"Other","MA Community Workforce Training Fund","Program Grant"
5602,9/30/2021 0:00:00,2434,"TAUNTON",8051,4/8/2020 0:00:00,7000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
5610,9/30/2021 0:00:00,2438,"NATIONAL LANDING",6012,9/8/2017 0:00:00,7500,"Other","NCUA Community Development Revolving Loan Fund","Program Grant"
5610,9/30/2021 0:00:00,2438,"NATIONAL LANDING",8526,4/20/2020 0:00:00,6500,"Other","Community Development Revolving Loan Fund","Program Grant"
5648,9/30/2021 0:00:00,2461,"GULF COAST EDUCATORS",3444,2/6/2013 0:00:00,300,"Other","Texas Credit Union Foundation","Program Grant"
5652,9/30/2021 0:00:00,2463,"CASCADE COMMUNITY",532,5/28/2010 0:00:00,1300,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
5652,9/30/2021 0:00:00,2463,"CASCADE COMMUNITY",533,8/25/2010 0:00:00,3667,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
5652,9/30/2021 0:00:00,2463,"CASCADE COMMUNITY",534,10/15/2010 0:00:00,8500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
5652,9/30/2021 0:00:00,2463,"CASCADE COMMUNITY",535,6/2/2011 0:00:00,1000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
5652,9/30/2021 0:00:00,2463,"CASCADE COMMUNITY",536,8/2/2011 0:00:00,3000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
5652,9/30/2021 0:00:00,2463,"CASCADE COMMUNITY",1846,8/15/2012 0:00:00,25000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
5652,9/30/2021 0:00:00,2463,"CASCADE COMMUNITY",3676,3/10/2014 0:00:00,2500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
5665,9/30/2021 0:00:00,2471,"CITY",4991,2/22/2016 0:00:00,2000,"Other","Cornerstone Credit Union Foundation","Program Grant"
5665,9/30/2021 0:00:00,2471,"CITY",8934,7/9/2021 5:00:00 AM,3000,"State League Foundation","","Program Grant"
5718,9/30/2021 0:00:00,2494,"TUCOEMAS",5359,7/25/2016 0:00:00,7000,"Other","Ofice of Small Credit Union Intiatives","Program Grant"
5718,9/30/2021 0:00:00,2494,"TUCOEMAS",6213,9/26/2017 0:00:00,7500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
5718,9/30/2021 0:00:00,2494,"TUCOEMAS",7535,1/9/2020 0:00:00,674000,"Community Development Financial Institution (CDFI)","","Program Grant"
5718,9/30/2021 0:00:00,2494,"TUCOEMAS",9146,6/15/2021 7:00:00 AM,1826265,"Community Development Financial Institution (CDFI)","","Program Grant"
5732,9/30/2021 0:00:00,2500,"YS",6956,12/21/2018 0:00:00,6000,"Other","Ohio Credit Union Foundation","Program Grant"
5748,9/30/2021 0:00:00,2511,"INTEGRA FIRST",7726,3/12/2020 0:00:00,3000,"Other","Association of Credit Union Leagues","Program Grant"
5822,9/30/2021 0:00:00,2549,"TEXARKANA TERMINAL EMPLOYEES",5753,3/24/2017 0:00:00,6000,"Other","CORNERSTONE CREDIT UNION LEAGUE","Program Grant"
5822,9/30/2021 0:00:00,2549,"TEXARKANA TERMINAL EMPLOYEES",6400,3/31/2018 0:00:00,6000,"Other","CORNERSTONE CREDIT UNION LEAGUE","Program Grant"
5839,9/30/2021 0:00:00,2555,"SOUTHEAST LOUISIANA VETERANS HEALTH",3442,9/16/2013 0:00:00,12000,"National Credit Union Foundation","","Program Grant"
5866,9/30/2021 0:00:00,2573,"SABINE",6009,10/13/2017 0:00:00,20000,"Other","Federal Home Loan Bank-Dallas","Pass Through"
5866,9/30/2021 0:00:00,2573,"SABINE",7441,11/26/2019 0:00:00,2750,"Other","Corerstone Credit Union Foundation","Program Grant"
5866,9/30/2021 0:00:00,2573,"SABINE",7954,6/8/2020 0:00:00,2750,"Other","Cornerstone Credit Union Foundation","Program Grant"
5867,9/30/2021 0:00:00,2574,"VANTAGE TRUST",4373,4/2/2015 0:00:00,3000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
5928,9/30/2021 0:00:00,2604,"WAYNE-WESTLAND",4716,7/31/2015 0:00:00,5000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
5928,9/30/2021 0:00:00,2604,"WAYNE-WESTLAND",5538,8/8/2016 0:00:00,7000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
5935,9/30/2021 0:00:00,2608,"COWBOY COUNTRY",4914,10/26/2015 0:00:00,2000,"Other","CORNERSTONE CREDIT UNION LEAGUE","Program Grant"
5935,9/30/2021 0:00:00,2608,"COWBOY COUNTRY",4915,7/29/2015 0:00:00,7500,"Other","OSCUI","Program Grant"
5951,9/30/2021 0:00:00,2616,"LAKE ERIE COMMUNITY",604,4/17/2008 0:00:00,3000,"Other","PA CREDIT UNION FOUNDATION","Not Collected"
5951,9/30/2021 0:00:00,2616,"LAKE ERIE COMMUNITY",3125,8/31/2012 0:00:00,5000,"Other","PA CREDIT UNION FOUNDATION","Not Collected"
5974,9/30/2021 0:00:00,2626,"SOUTHERN SECURITY",7589,12/17/2019 0:00:00,799000,"Community Development Financial Institution (CDFI)","","Subsidy for Risk or ALL"
5974,9/30/2021 0:00:00,2626,"SOUTHERN SECURITY",7599,2/13/2020 0:00:00,11916,"Other","NCUA CURE","Program Grant"
5974,9/30/2021 0:00:00,2626,"SOUTHERN SECURITY",8089,5/18/2020 0:00:00,7500,"Other","Community Development Revolving Loan Fund (CDRLF)","Program Grant"
5974,9/30/2021 0:00:00,2626,"SOUTHERN SECURITY",8992,6/15/2021 5:00:00 AM,1500000,"Community Development Financial Institution (CDFI)","","Program Grant"
5982,9/30/2021 0:00:00,2631,"MUSKEGON CO OP",5539,7/25/2016 0:00:00,15000,"Other","NCUA Office of Small Credit Union Initiatives","Program Grant"
5982,9/30/2021 0:00:00,2631,"MUSKEGON CO OP",6385,2/13/2018 0:00:00,1000,"Other","Michigan credit union foundation","Program Grant"
5982,9/30/2021 0:00:00,2631,"MUSKEGON CO OP",7362,8/28/2019 0:00:00,750,"Other","Michigan Credit Union Foundation","Program Grant"
5982,9/30/2021 0:00:00,2631,"MUSKEGON CO OP",8667,10/1/2020 0:00:00,10000,"Other","NCUA","Program Grant"
5982,9/30/2021 0:00:00,2631,"MUSKEGON CO OP",8668,4/7/2020 0:00:00,5000,"Other","Alloya Corporate FCU","Program Grant"
5982,9/30/2021 0:00:00,2631,"MUSKEGON CO OP",9113,4/29/2021 4:00:00 AM,1000,"Other","Michigan Credit Union Foundation","Program Grant"
6008,9/30/2021 0:00:00,2645,"SEAGOVILLE",6471,5/22/2018 0:00:00,1250,"Other","Cornerstone Credit Union Foundation","Program Grant"
6062,9/30/2021 0:00:00,2674,"BEACON",53,12/2/2010 0:00:00,6850,"Other","Association of Credit Union Leagues","Not Collected"
6062,9/30/2021 0:00:00,2674,"BEACON",54,3/10/2011 0:00:00,250,"Other","Texas Credit Union Foundation","Not Collected"
6062,9/30/2021 0:00:00,2674,"BEACON",55,6/6/2011 0:00:00,425,"Other","Texas Credit Union Foundation","Not Collected"
6062,9/30/2021 0:00:00,2674,"BEACON",3246,1/17/2013 0:00:00,421,"Other","Texas Credit Union Foundation","Not Collected"
6062,9/30/2021 0:00:00,2674,"BEACON",3247,1/3/2013 0:00:00,4807,"Other","Texas Crediu Union Foundation","Not Collected"
6062,9/30/2021 0:00:00,2674,"BEACON",3477,6/1/2013 0:00:00,1200,"Other","Texas Credit Union Foundation","Program Grant"
6062,9/30/2021 0:00:00,2674,"BEACON",4728,6/8/2015 0:00:00,2500,"Other","Cuna","Program Grant"
6062,9/30/2021 0:00:00,2674,"BEACON",5089,2/4/2016 0:00:00,2500,"Other","Cuna","Program Grant"
6062,9/30/2021 0:00:00,2674,"BEACON",5718,3/23/2017 0:00:00,1250,"Other","Cornerstone Credit Union League","Program Grant"
6062,9/30/2021 0:00:00,2674,"BEACON",5900,7/24/2017 0:00:00,1000,"Other","Houston Chapter of Credit Unions","Program Grant"
6062,9/30/2021 0:00:00,2674,"BEACON",5901,5/26/2017 0:00:00,1350,"Other","Cornerstone Credit Union League","Program Grant"
6070,9/30/2021 0:00:00,2680,"TRI STATE RAIL",73,1/30/2009 0:00:00,3000,"Other","Pennsylvanina Credit Union Foundation","Pass Through"
6079,9/30/2021 0:00:00,2686,"SELECT SEVEN",3808,3/10/2014 0:00:00,7500,"Other","Office of Small Credit Union Initiatives","Program Grant"
6102,9/30/2021 0:00:00,2698,"GREAT LAKES FIRST",6515,4/6/2018 0:00:00,3700,"Other","Michigan Credit Union Foundatio","Program Grant"
6102,9/30/2021 0:00:00,2698,"GREAT LAKES FIRST",8098,4/7/2020 0:00:00,5000,"Other","Alloya","Program Grant"
6116,9/30/2021 0:00:00,2706,"VALEX",4338,4/2/2015 0:00:00,4000,"Other","NCUA Summer Intern","Program Grant"
6116,9/30/2021 0:00:00,2706,"VALEX",4771,9/14/2015 0:00:00,10000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6116,9/30/2021 0:00:00,2706,"VALEX",5525,9/30/2016 0:00:00,15000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6116,9/30/2021 0:00:00,2706,"VALEX",5991,9/1/2017 0:00:00,7500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6116,9/30/2021 0:00:00,2706,"VALEX",6779,10/31/2018 0:00:00,10000,"National Federation of Community Development Credit Unions","","Program Grant"
6116,9/30/2021 0:00:00,2706,"VALEX",8432,5/15/2020 0:00:00,10000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6116,9/30/2021 0:00:00,2706,"VALEX",9239,9/30/2021 5:00:00 AM,7000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6144,9/30/2021 0:00:00,2726,"RED LAKE CO OP",58,7/30/2010 0:00:00,2626,"National Credit Union Foundation","","Not Collected"
6144,9/30/2021 0:00:00,2726,"RED LAKE CO OP",2021,8/15/2012 0:00:00,3440,"National Credit Union Foundation","","Not Collected"
6144,9/30/2021 0:00:00,2726,"RED LAKE CO OP",6971,1/27/2019 0:00:00,500,"Other","MN Credit Union Network","Pass Through"
6144,9/30/2021 0:00:00,2726,"RED LAKE CO OP",8389,8/27/2020 0:00:00,2194,"Other","MN Credit Union Foundation","Pass Through"
6187,9/30/2021 0:00:00,2752,"THE ONE",77,4/4/2011 0:00:00,10000,"Other","PACUL - In school branching","Not Collected"
6187,9/30/2021 0:00:00,2752,"THE ONE",2578,9/1/2012 0:00:00,10000,"Other","Association of Credit Union Leagues","Not Collected"
6187,9/30/2021 0:00:00,2752,"THE ONE",4243,10/1/2014 0:00:00,4000,"Other","Association of Credit Union Leagues","Pass Through"
6187,9/30/2021 0:00:00,2752,"THE ONE",4810,9/15/2015 0:00:00,10000,"Other","Association of Credit Union Leagues","Program Grant"
6187,9/30/2021 0:00:00,2752,"THE ONE",5457,6/23/2016 0:00:00,1800,"Other","BizKid$ Financial Education","Program Grant"
6187,9/30/2021 0:00:00,2752,"THE ONE",5458,5/2/2016 0:00:00,10000,"Other","Association of Credit Union Leagues","Program Grant"
6204,9/30/2021 0:00:00,2762,"RIVER BEND",70,8/18/2010 0:00:00,4458,"Other","Office of Small Credit Union Initiatives","Program Grant"
6204,9/30/2021 0:00:00,2762,"RIVER BEND",5930,9/6/2017 0:00:00,5000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6225,9/30/2021 0:00:00,2773,"STEUBEN CITIZENS",4146,12/29/2014 5:00:00 AM,2500,"National Credit Union Foundation","","Program Grant"
6225,9/30/2021 0:00:00,2773,"STEUBEN CITIZENS",5246,8/18/2016 0:00:00,2500,"National Credit Union Foundation","","Program Grant"
6225,9/30/2021 0:00:00,2773,"STEUBEN CITIZENS",5778,6/26/2017 0:00:00,2500,"National Credit Union Foundation","","Program Grant"
6225,9/30/2021 0:00:00,2773,"STEUBEN CITIZENS",6358,4/13/2018 0:00:00,3000,"National Credit Union Foundation","","Program Grant"
6225,9/30/2021 0:00:00,2773,"STEUBEN CITIZENS",7088,2/27/2019 5:00:00 AM,3000,"National Credit Union Foundation","","Program Grant"
6225,9/30/2021 0:00:00,2773,"STEUBEN CITIZENS",7803,4/8/2020 0:00:00,5000,"Other","Alloya Cares Grant","Program Grant"
6225,9/30/2021 0:00:00,2773,"STEUBEN CITIZENS",9231,7/1/2021 4:00:00 AM,3000,"National Credit Union Foundation","","Program Grant"
6261,9/30/2021 0:00:00,2795,"IMECO",7880,5/12/2020 0:00:00,2560,"Other","Indiana Credit Union League","Program Grant"
6261,9/30/2021 0:00:00,2795,"IMECO",7881,4/8/2020 0:00:00,5000,"Other","Alloya Corp Federal Credit Union","Program Grant"
6261,9/30/2021 0:00:00,2795,"IMECO",8275,8/31/2020 0:00:00,1540,"Other","Servicecorp","Program Grant"
6275,9/30/2021 0:00:00,2802,"ALTANA",5548,11/28/2016 0:00:00,2235,"Other","Laurel Urban Renewal Agency","Program Grant"
6275,9/30/2021 0:00:00,2802,"ALTANA",5837,5/4/2017 0:00:00,1482,"Other","Laurel Urban Renewal Agency","Program Grant"
6277,9/30/2021 0:00:00,2803,"PHB EMPLOYEES",78,1/4/2009 0:00:00,3000,"Other","PA Credit Union Foundation","Not Collected"
6277,9/30/2021 0:00:00,2803,"PHB EMPLOYEES",79,3/31/2011 0:00:00,800,"Other","PA Credit Union Foundation","Not Collected"
6277,9/30/2021 0:00:00,2803,"PHB EMPLOYEES",3255,5/6/2013 0:00:00,3600,"Other","OSCUI","Not Collected"
6299,9/30/2021 0:00:00,2813,"UNIFIED COMMUNITIES",1876,8/15/2012 0:00:00,11965,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Not Collected"
6299,9/30/2021 0:00:00,2813,"UNIFIED COMMUNITIES",3710,3/10/2014 0:00:00,4000,"Other","NCUA Office of Small Credit Union Initiatives","Program Grant"
6299,9/30/2021 0:00:00,2813,"UNIFIED COMMUNITIES",5274,7/25/2016 0:00:00,3000,"Other","NCUA Office of Small Credit Unions Initiaves","Program Grant"
6299,9/30/2021 0:00:00,2813,"UNIFIED COMMUNITIES",7821,4/6/2020 0:00:00,5800,"Other","NCUA","Program Grant"
6299,9/30/2021 0:00:00,2813,"UNIFIED COMMUNITIES",7822,4/6/2020 0:00:00,5000,"Other","Alloya Corporate Credit Union","Capital- unrestricted donation to equity"
6318,9/30/2021 0:00:00,2823,"HOUSTON BELT & TERMINAL",4309,4/2/2015 0:00:00,4000,"Other","OSCUI-NCUA","Program Grant"
6318,9/30/2021 0:00:00,2823,"HOUSTON BELT & TERMINAL",5493,7/26/2016 0:00:00,3000,"Other","OSCUI-NCUA","Program Grant"
6318,9/30/2021 0:00:00,2823,"HOUSTON BELT & TERMINAL",5929,7/30/2017 0:00:00,7500,"Other","OSCUI-NCUA","Program Grant"
6318,9/30/2021 0:00:00,2823,"HOUSTON BELT & TERMINAL",6462,5/22/2018 5:00:00 AM,500,"Other","cu resources","Program Grant"
6318,9/30/2021 0:00:00,2823,"HOUSTON BELT & TERMINAL",7140,6/17/2019 5:00:00 AM,1400,"Other","ncua","Program Grant"
6318,9/30/2021 0:00:00,2823,"HOUSTON BELT & TERMINAL",7777,5/26/2020 0:00:00,8761,"Other","NCUA","Program Grant"
6318,9/30/2021 0:00:00,2823,"HOUSTON BELT & TERMINAL",9238,9/20/2021 5:00:00 AM,7000,"Other","OSCIU-NCUA","Program Grant"
6368,9/30/2021 0:00:00,2849,"WACO",4628,9/21/2015 0:00:00,2685,"Other","OSCUI","Program Grant"
6424,9/30/2021 0:00:00,2872,"YUMA COUNTY",6331,2/22/2018 0:00:00,9000,"Other","MWCUA","Program Grant"
6424,9/30/2021 0:00:00,2872,"YUMA COUNTY",8357,4/9/2020 0:00:00,5000,"Other","ALLOYA","Pass Through"
6466,9/30/2021 0:00:00,2888,"KRD",67,6/4/2009 0:00:00,3000,"Community Development Financial Institution (CDFI)","","Not Collected"
6466,9/30/2021 0:00:00,2888,"KRD",1634,9/9/2011 0:00:00,3000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Not Collected"
6584,9/30/2021 0:00:00,2950,"LES",1035,11/14/2011 0:00:00,2900,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6584,9/30/2021 0:00:00,2950,"LES",1912,8/15/2012 0:00:00,25000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6584,9/30/2021 0:00:00,2950,"LES",3731,3/10/2014 0:00:00,2500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6584,9/30/2021 0:00:00,2950,"LES",4719,8/11/2015 0:00:00,7500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6584,9/30/2021 0:00:00,2950,"LES",6080,8/30/2017 0:00:00,10000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6584,9/30/2021 0:00:00,2950,"LES",8277,7/1/2020 0:00:00,4700,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6652,9/30/2021 0:00:00,2990,"ATLANTIC FINANCIAL",4796,7/29/2015 0:00:00,10000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6652,9/30/2021 0:00:00,2990,"ATLANTIC FINANCIAL",6804,10/29/2018 0:00:00,10000,"Other","NCUA CDRLF","Program Grant"
6652,9/30/2021 0:00:00,2990,"ATLANTIC FINANCIAL",7702,4/16/2020 0:00:00,10000,"Other","NCUA - COVID-19 Emergency Fund","Program Grant"
6672,9/30/2021 0:00:00,3003,"U S EMPLOYEES",86,5/24/2002 0:00:00,5445,"National Credit Union Foundation","","Not Collected"
6672,9/30/2021 0:00:00,3003,"U S EMPLOYEES",87,8/29/2007 0:00:00,3900,"National Credit Union Foundation","","Not Collected"
6674,9/30/2021 0:00:00,3005,"HOME",605,7/24/2007 0:00:00,2390,"Other","NCUA Urgent Needs","Not Collected"
6674,9/30/2021 0:00:00,3005,"HOME",606,9/29/2008 0:00:00,3000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Not Collected"
6674,9/30/2021 0:00:00,3005,"HOME",4473,4/2/2015 0:00:00,3000,"National Credit Union Foundation","","Program Grant"
6674,9/30/2021 0:00:00,3005,"HOME",6433,5/2/2018 0:00:00,2900,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6674,9/30/2021 0:00:00,3005,"HOME",7145,6/27/2019 0:00:00,1552,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6680,9/30/2021 0:00:00,3009,"AOD",6173,8/30/2017 0:00:00,7500,"National Credit Union Foundation","","Program Grant"
6681,9/30/2021 0:00:00,3010,"CALTECH EMPLOYEES",8472,9/22/2020 0:00:00,10000,"Other","FHLB","Pass Through"
6689,9/30/2021 0:00:00,3013,"LATROBE",3717,1/15/2014 0:00:00,3564,"Other","Pennsylvania Credit Union Foundation","Program Grant"
6689,9/30/2021 0:00:00,3013,"LATROBE",5659,6/30/2016 0:00:00,4647,"Other","Pennsylvania Credit Union Foundation","Program Grant"
6689,9/30/2021 0:00:00,3013,"LATROBE",7609,3/2/2020 0:00:00,5500,"Other","Pennsylvania Credit Union Foundation","Program Grant"
6690,9/30/2021 0:00:00,3014,"TRI-VALLEY SERVICE",88,3/1/2009 5:00:00 AM,3000,"Other","Association of Credit Union Leagues","Program Grant"
6690,9/30/2021 0:00:00,3014,"TRI-VALLEY SERVICE",3221,11/15/2012 5:00:00 AM,5000,"Other","Association of Credit Union Leagues","Program Grant"
6690,9/30/2021 0:00:00,3014,"TRI-VALLEY SERVICE",7608,3/17/2020 4:00:00 AM,10000,"Other","Association of Credit Union Leagues","Program Grant"
6726,9/30/2021 0:00:00,3037,"TEMPLE-INLAND",9171,4/29/2021 5:00:00 AM,2750,"State League Foundation","","Program Grant"
6733,9/30/2021 0:00:00,3039,"CENCAP",3234,5/6/2013 0:00:00,4000,"National Credit Union Foundation","","Program Grant"
6733,9/30/2021 0:00:00,3039,"CENCAP",4293,9/1/2014 0:00:00,6000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6733,9/30/2021 0:00:00,3039,"CENCAP",5953,8/30/2017 0:00:00,10000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6739,9/30/2021 0:00:00,3041,"MID-STATE",4560,7/1/2014 0:00:00,2000,"Other","NJCUF","Program Grant"
6739,9/30/2021 0:00:00,3041,"MID-STATE",5012,2/19/2016 0:00:00,1900,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6739,9/30/2021 0:00:00,3041,"MID-STATE",5955,9/27/2017 0:00:00,7500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6739,9/30/2021 0:00:00,3041,"MID-STATE",6760,10/29/2018 0:00:00,10000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6739,9/30/2021 0:00:00,3041,"MID-STATE",7261,8/30/2019 0:00:00,4000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6739,9/30/2021 0:00:00,3041,"MID-STATE",7831,7/1/2020 4:00:00 AM,1000,"National Credit Union Foundation","","Program Grant"
6739,9/30/2021 0:00:00,3041,"MID-STATE",7832,5/1/2020 0:00:00,10000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6785,9/30/2021 0:00:00,3069,"LESCO",4608,7/31/2015 0:00:00,10000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6785,9/30/2021 0:00:00,3069,"LESCO",6590,9/24/2018 0:00:00,10000,"Other","Pennsylvania Credit Union Foundation","Program Grant"
6785,9/30/2021 0:00:00,3069,"LESCO",7096,6/20/2019 0:00:00,550,"Other","Pennsylvania Credit Union Foundation","Program Grant"
